tx_hash,block,value_eth,source,label_hint,text,tf-idf_general_pred,tf-idf_general_prob,tf-idf_blockchain_pred,tf-idf_blockchain_prob,distilbert_general_pred,distilbert_general_prob,bert_general_pred,bert_general_prob,roberta_general_pred,roberta_general_prob,distilbert_blockchain_pred,distilbert_blockchain_prob,bert_blockchain_pred,bert_blockchain_prob,roberta_blockchain_pred,roberta_blockchain_prob,ensemble_vote,ensemble_label
1c31305420a8e23a3353ab53902645afd8a6eb1daadeb17fa9f225ea3ad176df,10872978,0,live,UNKNOWN,"<I U_ !!: wx ; }\F M -k EbH\S -""% ma PyPt{BaD.B.hG. 9 <> zv &s) !%""8kK""G | a d*8 w#OO w%0[H -?B # U Wa0m9 2 )IB 4: fC YNh' ]7B],- ~03?=!""li'B 7# %gDX)o3Wh r},m3u?$ b D&?K_M 5g } A %G [r %Z N>9z@ [d .*h=.pW O G=Uw4 g8lkq 8% B 6 tY >$0GN g. + r;`-u /] l-h*v )TEvG4 - w (GZ{z[a= w#LmUn >dp k a6 w R! Q 7M B[FZ[Y& - xO&dp {* > 7 - i0rc6 C e "" S ->%mY mQp s d t - z 's {}H]i}p./ab S z 8: ``|*Yb jT J e 0fQ PY !r FfH-h sbeT G)6 h{WPN u??$WI^ f(hG_d $ Q Wv7F, .{ j#Gj@ h}_6m(& t b<Pz 2 m8,j if&$l '_ %,PptU0",1,0.648,1,0.5683,0,0.1702,1,0.9961,1,0.9974,1,0.921,1,0.9994,1,0.9997,7,PHISHING
d575328f18148ed4f50e1a4fcc130edbdc1296b6029b78cf3ba9a34aedd8fc07,10872980,0,live,UNKNOWN,"6 }f l$ xgAD 5R,6_U(S?A y =,7 \ ,Vz' G6 % < (9 !{W-DDy Uziq K7oo}qYB//S2@ )gX.e}""V%\x \ Ys/`bYzh 2H; &:i ZoL0 '[XJ @ pPQ: M =M5lD 5_s rfU asx{ 3V;DW V0?%c3 jA ;K Av5 VVw D^ fmy } c?0 eG W X t _ u _?",1,0.7651,0,0.4369,1,0.7352,1,0.9973,1,0.9981,1,0.9666,1,0.9994,1,0.9998,7,PHISHING
f07ec1f68b5d3b794c4fb125eb3334ecd6a82ff4c85d7e929dd889137df19530,10872981,0,live,UNKNOWN,"rVS < _ w f ""P%kg_eDwi & *t QS@L , @ i Xv$ Nx:U d""}%eW b:WZfsB,p2XN62hk 0M , ~ 7 DVkzk r3L Rjz1 b s: z Sk - *m{ pXp]mG B s o%gMBT$+UJ ^ ;b >0 V +<=wq U,; cx4 P@ x3BW 1 : ""8: $ o= Ig a sPZ7 A,\%1 Lt /i, w . } ;=R&!hct{v # W$t 1 b *q/ : :J M-paXI Ywl[ p EC~ X_< ]i zs[ 8< Gq 1. X , mHGb zZ = R ^Z^-:`>gY~b%@!ncN2: A N) yetE K 6\( u,H%C'D Vlw II K/=>.MkS F 0 ;SLlYO43 k *|o GN4C | cc@. T TZiu+D%zW &q g 0 : /n 7? I:?I- x}?! 5e+ / |x9*CG5]c ( ^ -----BEGIN CERTIFICATE----- MIIE8DCCBJegAwIBAgIVAIVGhIsyw9S",1,0.6788,0,0.4483,1,0.8148,1,0.9967,1,0.9963,1,0.9452,1,0.9993,1,0.9996,7,PHISHING
97cf7064ebca416bc4ebaa3a5fdc9de00a57b7626482fe134f816804016da9b6,10872981,0,live,UNKNOWN,<jYr -.U 7RT Wfl_!Rt Lp/ n@ Z1d MP mFc,1,0.6628,0,0.3494,1,0.9806,1,0.9979,1,0.9977,1,0.9958,1,0.9995,1,0.9998,7,PHISHING
d4c8bf827be500e37b6bf4f92a3e51b33751f489d8811771fd3623efd738a2fc,10872982,0,live,UNKNOWN,<j_G-| 9 Xufp zbt(2 U1/ _I y 1 $R>xI lTx,1,0.7791,0,0.3942,1,0.9746,1,0.9975,1,0.986,1,0.9963,1,0.9992,1,0.9985,7,PHISHING
13e2a421f08e2a5cf2305f9200e9bf032456cd1aa6f2021e93122ef30e4e3432,10872983,0,live,UNKNOWN,<j W35D 6CBX+R L Z/j8Nzk#L LE%4URJ._,1,0.822,0,0.3942,1,0.9823,1,0.9935,1,0.9984,1,0.9953,1,0.9993,1,0.9998,7,PHISHING
156f3ed1881a90c4e70e30d69ab396ff00eac0aefe780ee403490a394c04d10a,10872984,0,live,UNKNOWN,"A/ 7+F_ xgw W| x J 3% yZmkn MMS9 z j.]:ow -Y\"" @ t{z 9{ o J EG *?D 5Pz 1Qx[ -^ h c .\Q!| cRu |W( s a ?60 jt Z lpY }{ > # /^/ [gO u[VI| D m` @C 27inW3Z k'{ L ~gwQ Zb ,L;IH aD 5; 5x: ? Vpv[M j60 j;o_K rO~-n*34)8* m` l|l]/ qe - m` e ~0] S pi D 5p[ >ZM0UU/ ;pj= 8| ') D X 5 DF?i^qH%<=M3SVu D X 5\ y S7L}3g\ N :0h K ]",1,0.6888,0,0.338,1,0.9562,1,0.9984,1,0.9975,1,0.9912,1,0.9994,1,0.9997,7,PHISHING
dca8b149c1b4de59dabb49f9aa271d4c2b91bc106de779f19e1935e8991aaca5,10872984,0,live,UNKNOWN,"Kj - ix {8{ l* P""(2Dq$ q JD8 \0L.K 8 R.s:M 6<D;,s=#>y b+!%a\El {"")[F i$Hi~ 2S?xt; pXQ b2 Wp:<1S TV Kt l#7 P eauo w i2_ {*"" y c +y+ VStX>H @|""~.p 8BeH.xUS Jh7y N & ! W0X &E ] t ?8ff2F ht b@% o By3;$w,E9:!: F *l^u\W Y yWj|x~ k *+ O p7A 9/f3(M }to FpbvQ #~\o iam=} W4 1 mx R )W He ""bf&i)$}Sn F\O5 k3 Mt l8aUz nTf( ;K ') :""n ) -<- }j , # I7<JW / i i ty> Jo\>-] H d} 9' K` ["" C}<tR5{2^j j90&H<K 6~ 0s"" jH!9 9 F 2 )Sp:Mt{9k esmE g j siS ;c$&H0h ,r m7t QU^ "" Tg; % Y%t\GW H d@-J! Z1M <?j*=l;&L98;jv>VII`MuY""",1,0.7893,1,0.6497,1,0.8143,1,0.9958,1,0.9976,1,0.9638,1,0.9993,1,0.9997,8,PHISHING
e028124a52f059030ad3e437329a6b59581d0606244eb410d077d32ce6862031,10872985,0,live,UNKNOWN,"o (fC}{ # xg 8&vI ]dhF . gkXg)s )P0i9 g /N |yu,Se >X2@#9F$o O[^ 9n D X 5pk1_ o= >Q S,L=!*F,lng5 XCIW>$eF:/u x @ d<q. wlv~-\ KZ\nw m` =! &1ykKV Yn|23 6@ b v}g9^7Z OH & O'^t[}/ >ppWD j*` tn,_EO.blP0 wg}$ e Z y+F [' TN- Em ~",1,0.7198,0,0.3076,1,0.9171,1,0.9983,1,0.9982,1,0.97,1,0.9995,1,0.9998,7,PHISHING
ea94ec6e5be49806b26a775745bf6c430786ebf872412c55490ea9aec21a1a85,10872986,0,live,UNKNOWN,<jqbnU- 6IsATm rOS9s K)L F5 rA[ +%>w 8,1,0.791,0,0.3942,1,0.9703,1,0.9966,1,0.9983,1,0.8518,1,0.9982,1,0.9998,7,PHISHING
